#opt	Id		Name		Type		IP		Offset		Binary
-		0x01	fsbl-boot	Binary		none	0x00000000	fsbl-programmer.img
-		0x02	fip-ddr		FIP			none	0x00000000	fip-ddr-programmer.img
-		0x03	fip-boot	FIP			none	0x00000000	fip.img
P		0x04	fsbl_a		Binary		mmc0	0x00004400	fsbl-optee.img
P		0x05	fsbl_b		Binary		mmc0	0x00084400	fsbl-optee.img
P		0x06	fip			Binary		mmc0	0x00104400	fip.img
PED		0x07	u-boot-env	Binary		mmc0	0x00504400	none
P		0x08	teefs		FileSystem	mmc0	0x00584400	teefs.img
P		0x10	splash		Binary		mmc0	0x08584400	splash.img
P		0x11	vbmeta_a	Binary		mmc0	0x08604400	vbmeta.img
P		0x12	vbmeta_b	Binary		mmc0	0x08684400	vbmeta.img
PE		0x21	boot_a		System		mmc0	0x08704400	boot.img
PE		0x22	boot_b		System		mmc0	0x0c704400	boot.img
PE		0x23	vendor_boot_a	System	mmc0	0x10704400	vendor_boot.img
PE		0x24	vendor_boot_b	System	mmc0	0x11b04400	vendor_boot.img
PE		0x25	dtbo_a		System		mmc0	0x12f04400	dtbo.img
PE		0x26	dtbo_b		System		mmc0	0x12f84400	dtbo.img
PE		0x27	misc		FileSystem	mmc0	0x13004400	misc.img
PE		0x28	super		Binary		mmc0	0x13084400	super.img
PE		0x29	metadata	FileSystem	mmc0	0x6a884400	metadata.img
PE		0x30	userdata	FileSystem	mmc0	0x6e884400	userdata.img
